family,n,p,amplitude,qextra,field,multi,canonical_error,mean_error,mean_to_canonical,change_over_error,change_l2,canonical_relative,floor
quad,8.0,4.0,0.0,0.0,sine,xxy,0.0005948670880138098,0.0005948670869470032,0.9999999982066472,1.3690421760275152e-07,8.143981326215775e-11,6.989406982849485e-05,6.300819580948495e-07
quad,8.0,4.0,0.0,0.0,sine,xyy,0.003003268297508432,0.003003268303537757,1.0000000020075879,5.1624980155231176e-08,1.5504366625970772e-10,0.00023524654871575403,9.45122937151851e-07
quad,8.0,4.0,0.0,0.0,exponential,xy,7.362460638365725e-08,7.362466792425262e-08,1.0000008358699408,5.1764892829499576e-05,3.811169859064108e-12,6.284958727526809e-08,3.5621384729456523e-10
quad,8.0,4.0,0.0,0.0,exponential,xxy,1.0274612173856053e-05,1.0274623391716715e-05,1.0000010918038045,2.8288047424993177e-05,2.9064871644745227e-10,8.770914593081463e-06,3.5621384729456523e-10
quad,8.0,4.0,0.0,0.0,exponential,xyy,6.438874090001971e-07,6.438423034024117e-07,0.9999299480046435,0.0008225608041087754,5.29636544902718e-10,1.0993079595298722e-06,1.7810692364728261e-10
quad,8.0,4.0,0.0,0.0,cubic,xy,6.473041678153259e-12,6.573369974975027e-12,1.0154994053507147,0.12746733837904908,8.251013939308492e-13,2.9964360461498643e-12,3.3006138291993716e-15
quad,8.0,4.0,0.0,0.0,cubic,xxy,6.38648597097044e-10,6.385671129915587e-10,0.9998724116738756,0.10354288785096206,6.612752006539349e-11,3.1932429854852267e-10,2.616582653940922e-15
quad,8.0,4.0,0.0,0.0,cubic,xyy,6.104268989641339e-10,6.282106946287962e-10,1.0291333748477347,0.18221325957254647,1.1122787499101632e-10,3.0521344948206757e-10,2.616582653940922e-15
quad,2.0,5.0,0.0,0.0,sine,xy,0.00044187265512831623,0.00044187265512741965,0.999999999997971,2.4544943978583353e-10,1.0845739565792405e-13,0.00010446774725309728,1.9788344749687054e-05
quad,2.0,5.0,0.0,0.0,sine,xxy,0.003014999894283161,0.0030149998942522464,0.9999999999897464,7.244682289262938e-10,2.1842716336242845e-12,0.0003542482302181757,3.993670887481648e-05
quad,2.0,5.0,0.0,0.0,sine,xyy,0.021401103807620617,0.021401103807502726,0.9999999999944913,2.2592027386370302e-10,4.834943233203187e-12,0.0016763523304351722,5.990506331216137e-05
quad,2.0,5.0,0.0,0.0,exponential,xy,4.955918214362278e-07,4.955918718305958e-07,1.0000001016852291,6.959330244898346e-07,3.448987152045401e-13,4.2306156819304056e-07,7.492376445390268e-09
quad,2.0,5.0,0.0,0.0,exponential,xxy,2.4278016156720842e-05,2.427801767249633e-05,1.0000000624340752,3.1488182398996454e-07,7.644706010286088e-12,2.0724909378271423e-05,7.492376445390268e-09
quad,2.0,5.0,0.0,0.0,exponential,xyy,8.127326548518693e-07,8.127345703125485e-07,1.0000023568152057,2.1322126161842668e-05,1.732918820260089e-11,1.3875771819110595e-06,3.746188222695134e-09
quad,2.0,5.0,0.0,0.0,cubic,xy,4.949815781510498e-13,4.803861006841391e-13,0.9705130895549071,0.16137311603834276,7.987671964781139e-14,2.291319470346897e-13,2.4582535105944223e-15
quad,2.0,5.0,0.0,0.0,cubic,xxy,1.3332851422232533e-11,1.3409394552053773e-11,1.0057409422333774,0.13742518238238305,1.832269538377521e-12,6.666425711116241e-12,2.2061652946536855e-15
quad,2.0,5.0,0.0,0.0,cubic,xyy,1.8482397914390408e-11,1.8035993806490283e-11,0.9758470675738155,0.21384705391779454,3.952406343328779e-12,9.241198957195168e-12,2.2061652946536855e-15
quad,4.0,5.0,0.0,0.0,sine,xy,1.3975506891355032e-05,1.3975506893211015e-05,1.0000000001328027,3.631470048399033e-08,5.075163468715008e-13,3.3040961116637247e-06,3.1359689368463334e-07
quad,4.0,5.0,0.0,0.0,sine,xxy,0.0001819443511401878,0.00018194435120317306,1.0000000003461786,1.2415433325451006e-07,2.2589179605234474e-11,2.1377600878798712e-05,6.313866335854664e-07
quad,4.0,5.0,0.0,0.0,sine,xyy,0.001356594850424635,0.0013565948499760466,0.9999999996693276,3.911033687242605e-08,5.3056881599505907e-11,0.00010626231989753298,9.470799504088638e-07
quad,4.0,5.0,0.0,0.0,exponential,xy,1.5696241302194576e-08,1.569644096644539e-08,1.0000127205135911,0.00011620389428576752,1.8239643649641164e-12,1.3399084030076732e-08,1.1869274600051846e-10
quad,4.0,5.0,0.0,0.0,exponential,xxy,1.5373475733937265e-06,1.5373563074805477e-06,1.0000056812701126,5.469319425648448e-05,8.408244947135811e-11,1.3123555456844968e-06,1.1869274600051846e-10
quad,4.0,5.0,0.0,0.0,exponential,xyy,4.8920383362674445e-08,4.89440743868254e-08,1.0004842771565243,0.004085117016805173,1.9984549054349401e-10,8.352169348573856e-08,5.934637300025923e-11
quad,4.0,5.0,0.0,0.0,cubic,xy,2.150478665877445e-12,1.9758157001779217e-12,0.9187794938536361,0.19573355790703664,4.209208404753698e-13,9.954781865006995e-13,2.532381097446162e-15
quad,4.0,5.0,0.0,0.0,cubic,xxy,1.4775109189033712e-10,1.394817120300537e-10,0.9440316835937763,0.13719189977706536,2.0270252990571103e-11,7.387554594516826e-11,2.1866283586295874e-15
