active_elements,cadence,case,cell_average_l2_error,cfl,conservation_drift,dimension,dofs,downwind_l2_error,elements,exit_code,filter_applications,id,l1_error,l2_error,limited_elements,linf_error,max,maximum,method,min,min_density,min_pressure,minimum,n,order,peak_mib,positivity_applications,problem,profile_prefix,program,ranks,rejected_steps,runtime_seconds,state_l2_error,status,steps,tf,time,wall_seconds
0,step,piecewise_advection,0.0209081148885459,0.15,2.289834988289385e-16,1,768,0.04584594120330955,256,0,0,piecewise_advection_dg_p2_n256_c0.15,0.007616950617432548,0.05174190443542971,,0.8675247894327199,,1.086918253154896,dg,,,,-1.009620973773576,256,2,19.3125,,,/Users/timozund/Documents/master_thesis/codex_dev/measurements/study/preview/profiles/piecewise_advection_dg_p2_n256_c0.15,advection,1,,6.380245375000001,,ok,9387,1.1,1.1,6.5159276250051335
0,step,piecewise_advection,0.04740298202931276,0.15,6.938893903907228e-17,1,768,0.06977014700384244,256,0,9387,piecewise_advection_ofdg_p2_n256_c0.15,0.0111612476959048,0.07166926236612466,,0.8758560324438589,,0.9318272411956516,ofdg,,,,-0.9999972817246835,256,2,19.5625,,,/Users/timozund/Documents/master_thesis/codex_dev/measurements/study/preview/profiles/piecewise_advection_ofdg_p2_n256_c0.15,advection,1,,8.558694708333334,,ok,9387,1.1,1.1,8.663767792051658
274801,step,piecewise_advection,0.04738800512865073,0.15,5.620504062164855e-16,1,768,0.06976215147501164,256,0,9387,piecewise_advection_ofdg-kxrcf_p2_n256_c0.15,0.0111541009665916,0.07166166391694254,,0.8759737980153306,,0.9320380782836581,ofdg-kxrcf,,,,-0.999997303497968,256,2,19.8125,,,/Users/timozund/Documents/master_thesis/codex_dev/measurements/study/preview/profiles/piecewise_advection_ofdg-kxrcf_p2_n256_c0.15,advection,1,,8.928058708333333,,ok,9387,1.1,1.1,9.159140957985073
0,stage,piecewise_advection,0.04746015338492093,0.15,2.706168622523819e-16,1,768,0.06981693652260053,256,0,37548,piecewise_advection_oedg_p2_n256_c0.15,0.01116688988381757,0.07171064831803425,,0.8778437938970947,,0.9314104827129036,oedg,,,,-0.9999972490358973,256,2,19.59375,,,/Users/timozund/Documents/master_thesis/codex_dev/measurements/study/preview/profiles/piecewise_advection_oedg_p2_n256_c0.15,advection,1,,15.826561875,,ok,9387,1.1,1.1,15.945770167047158
0,step,smooth_burgers,,0.15,8.481479150569371e-16,,96,,32,0,0,smooth_burgers_dg_p2_n32_c0.15,0.0005332099974237712,0.0005218608683274354,,0.001303115325976156,1.499926773458611,,dg,-0.5000425650366001,,,,32,2,0.03125,,1,/Users/timozund/Documents/master_thesis/codex_dev/measurements/study/preview/profiles/smooth_burgers_dg_p2_n32_c0.15,burgers,1,,0.01459666666666667,,ok,153,0.6,0.6,0.7052485829917714
0,step,smooth_burgers,,0.15,1.554937844271051e-15,,96,,32,0,153,smooth_burgers_ofdg_p2_n32_c0.15,0.0006524083665099026,0.0006795306447494251,,0.001732253728582545,1.499912409545496,,ofdg,-0.5000361307776409,,,,32,2,0.59375,,1,/Users/timozund/Documents/master_thesis/codex_dev/measurements/study/preview/profiles/smooth_burgers_ofdg_p2_n32_c0.15,burgers,1,,0.01807883333333333,,ok,153,0.6,0.6,0.24811354198027402
0,step,smooth_burgers,,0.15,8.481479150569371e-16,,96,,32,0,153,smooth_burgers_ofdg-kxrcf_p2_n32_c0.15,0.0005332099974237712,0.0005218608683274354,,0.001303115325976156,1.499926773458611,,ofdg-kxrcf,-0.5000425650366001,,,,32,2,0.59375,,1,/Users/timozund/Documents/master_thesis/codex_dev/measurements/study/preview/profiles/smooth_burgers_ofdg-kxrcf_p2_n32_c0.15,burgers,1,,0.0185535,,ok,153,0.6,0.6,0.23140137502923608
0,step,smooth_burgers,,0.15,5.65431943371292e-16,,192,,64,0,0,smooth_burgers_dg_p2_n64_c0.15,6.729554886544922e-05,6.996343457952419e-05,,0.0001945712046346193,1.499979128443762,,dg,-0.4999781195446654,,,,64,2,0.546875,,1,/Users/timozund/Documents/master_thesis/codex_dev/measurements/study/preview/profiles/smooth_burgers_dg_p2_n64_c0.15,burgers,1,,0.04795366666666667,,ok,306,0.6,0.6,0.23583870800212026
0,step,smooth_burgers,,0.15,4.24073957528469e-16,,192,,64,0,306,smooth_burgers_ofdg_p2_n64_c0.15,7.503283603064349e-05,7.936473824870214e-05,,0.0002318854443460472,1.499978609507943,,ofdg,-0.4999780577108917,,,,64,2,0.625,,1,/Users/timozund/Documents/master_thesis/codex_dev/measurements/study/preview/profiles/smooth_burgers_ofdg_p2_n64_c0.15,burgers,1,,0.06274979166666667,,ok,306,0.6,0.6,0.23557895806152374
0,step,smooth_burgers,,0.15,5.65431943371292e-16,,192,,64,0,306,smooth_burgers_ofdg-kxrcf_p2_n64_c0.15,6.729554886544922e-05,6.996343457952419e-05,,0.0001945712046346193,1.499979128443762,,ofdg-kxrcf,-0.4999781195446654,,,,64,2,0.578125,,1,/Users/timozund/Documents/master_thesis/codex_dev/measurements/study/preview/profiles/smooth_burgers_ofdg-kxrcf_p2_n64_c0.15,burgers,1,,0.0630275,,ok,306,0.6,0.6,0.22953470796346664
0,step,smooth_burgers,,0.15,1.413579858428228e-16,,384,,128,0,0,smooth_burgers_dg_p2_n128_c0.15,8.513687745287059e-06,9.305366758334177e-06,,2.862153185601013e-05,1.499967824372277,,dg,-0.4999992564306567,,,,128,2,18.796875,,1,/Users/timozund/Documents/master_thesis/codex_dev/measurements/study/preview/profiles/smooth_burgers_dg_p2_n128_c0.15,burgers,1,,0.1783875833333333,,ok,612,0.6,0.6,0.46512491593603045
0,step,smooth_burgers,,0.15,8.481479150569371e-16,,384,,128,0,612,smooth_burgers_ofdg_p2_n128_c0.15,8.935453562190755e-06,9.885372429788726e-06,,3.205008164053336e-05,1.499967777402415,,ofdg,-0.4999992471690985,,,,128,2,19.078125,,1,/Users/timozund/Documents/master_thesis/codex_dev/measurements/study/preview/profiles/smooth_burgers_ofdg_p2_n128_c0.15,burgers,1,,0.2416064583333334,,ok,612,0.6,0.6,0.4785768340807408
0,step,smooth_burgers,,0.15,1.413579858428228e-16,,384,,128,0,612,smooth_burgers_ofdg-kxrcf_p2_n128_c0.15,8.513687745287059e-06,9.305366758334177e-06,,2.862153185601013e-05,1.499967824372277,,ofdg-kxrcf,-0.4999992564306567,,,,128,2,19.09375,,1,/Users/timozund/Documents/master_thesis/codex_dev/measurements/study/preview/profiles/smooth_burgers_ofdg-kxrcf_p2_n128_c0.15,burgers,1,,0.2465134583333334,,ok,612,0.6,0.6,0.4604667500825599
0,step,shock_burgers,,0.15,2.827159716856457e-16,,384,,128,0,0,shock_burgers_dg_p2_n128_c0.15,nan,nan,,nan,1.61457666488838,,dg,-0.5390054022895152,,,,128,2,18.90625,,2,/Users/timozund/Documents/master_thesis/codex_dev/measurements/study/preview/profiles/shock_burgers_dg_p2_n128_c0.15,burgers,1,,0.74140775,,ok,2475,2.2,2.2,0.935068208957091
