family,map,field,p,n,amplitude,derivative,rate
quad,coupled,shortwave,3.0,16.0,1.2,xxx,0.9801889268616265
quad,coupled,shortwave,3.0,16.0,1.2,xxy,1.3796839047494385
quad,coupled,shortwave,3.0,16.0,1.2,xyy,1.6655214135257101
quad,coupled,shortwave,3.0,16.0,1.2,yyy,0.9780667127310464
quad,coupled,exponential,3.0,16.0,1.2,x,3.000365565677899
quad,coupled,exponential,3.0,16.0,1.2,y,2.996604610262835
quad,coupled,exponential,3.0,16.0,1.2,xx,2.0014244493148667
quad,coupled,exponential,3.0,16.0,1.2,xy,2.20828042780194
quad,coupled,exponential,3.0,16.0,1.2,yy,1.9979922932583083
quad,coupled,exponential,3.0,16.0,1.2,xxx,1.0042834241470948
quad,coupled,exponential,3.0,16.0,1.2,xxy,1.464151257813911
quad,coupled,exponential,3.0,16.0,1.2,xyy,1.636122897890174
quad,coupled,exponential,3.0,16.0,1.2,yyy,1.001267704929226
quad,coupled,sine,4.0,8.0,1.2,x,3.969466691869193
quad,coupled,sine,4.0,8.0,1.2,y,4.013929829945382
quad,coupled,sine,4.0,8.0,1.2,xx,2.983902436996576
quad,coupled,sine,4.0,8.0,1.2,xy,3.0782506852671925
quad,coupled,sine,4.0,8.0,1.2,yy,3.0132771091048345
quad,coupled,sine,4.0,8.0,1.2,xxx,2.0049407865070257
quad,coupled,sine,4.0,8.0,1.2,xxy,2.512021419197531
quad,coupled,sine,4.0,8.0,1.2,xyy,2.1670193436155483
quad,coupled,sine,4.0,8.0,1.2,yyy,2.015153965742782
quad,coupled,shortwave,4.0,8.0,1.2,x,3.898297665781465
quad,coupled,shortwave,4.0,8.0,1.2,y,3.936233977586746
quad,coupled,shortwave,4.0,8.0,1.2,xx,2.911093249752793
quad,coupled,shortwave,4.0,8.0,1.2,xy,3.3732809254116254
quad,coupled,shortwave,4.0,8.0,1.2,yy,2.918711783460463
quad,coupled,shortwave,4.0,8.0,1.2,xxx,1.9258760919008462
quad,coupled,shortwave,4.0,8.0,1.2,xxy,2.5288920985449668
quad,coupled,shortwave,4.0,8.0,1.2,xyy,2.7112473067513956
quad,coupled,shortwave,4.0,8.0,1.2,yyy,1.9202029677071
quad,coupled,exponential,4.0,8.0,1.2,x,3.993531648420136
quad,coupled,exponential,4.0,8.0,1.2,y,4.006605486008025
quad,coupled,exponential,4.0,8.0,1.2,xx,2.9951231540256384
quad,coupled,exponential,4.0,8.0,1.2,xy,3.482515854173514
quad,coupled,exponential,4.0,8.0,1.2,yy,3.011788695703056
quad,coupled,exponential,4.0,8.0,1.2,xxx,2.002131295686216
quad,coupled,exponential,4.0,8.0,1.2,xxy,2.807063553419589
quad,coupled,exponential,4.0,8.0,1.2,xyy,2.4478743111432464
quad,coupled,exponential,4.0,8.0,1.2,yyy,2.0212631972578508
quad,coupled,sine,4.0,16.0,1.2,x,3.993618319520234
quad,coupled,sine,4.0,16.0,1.2,y,4.002132211664039
quad,coupled,sine,4.0,16.0,1.2,xx,2.996656035774081
quad,coupled,sine,4.0,16.0,1.2,xy,3.029627605880349
quad,coupled,sine,4.0,16.0,1.2,yy,3.002107733770877
quad,coupled,sine,4.0,16.0,1.2,xxx,2.0014943616079672
quad,coupled,sine,4.0,16.0,1.2,xxy,2.223646830930173
quad,coupled,sine,4.0,16.0,1.2,xyy,2.0626978016908093
quad,coupled,sine,4.0,16.0,1.2,yyy,2.0027688792284595
quad,coupled,shortwave,4.0,16.0,1.2,x,3.9691013361224536
quad,coupled,shortwave,4.0,16.0,1.2,y,3.982646070738101
quad,coupled,shortwave,4.0,16.0,1.2,xx,2.9740691878884027
quad,coupled,shortwave,4.0,16.0,1.2,xy,3.1501355673241207
quad,coupled,shortwave,4.0,16.0,1.2,yy,2.979203613133624
quad,coupled,shortwave,4.0,16.0,1.2,xxx,1.9790381492089935
quad,coupled,shortwave,4.0,16.0,1.2,xxy,2.2587750419837413
quad,coupled,shortwave,4.0,16.0,1.2,xyy,2.527575596767927
quad,coupled,shortwave,4.0,16.0,1.2,yyy,1.9802204494749878
quad,coupled,exponential,4.0,16.0,1.2,x,3.9985620163386644
quad,coupled,exponential,4.0,16.0,1.2,y,4.001598565710175
quad,coupled,exponential,4.0,16.0,1.2,xx,2.999121725996691
quad,coupled,exponential,4.0,16.0,1.2,xy,3.2012067540465887
quad,coupled,exponential,4.0,16.0,1.2,yy,3.0028205610945347
quad,coupled,exponential,4.0,16.0,1.2,xxx,2.0012579433739046
