family,level,method,problem,cfl,quadrature,elements,dofs,steps,final_time,l2,relative_l2,l1,minimum,maximum,initial_minimum,initial_maximum,mass_drift,filter_mean_defect,constant_operator_residual,flux_mismatch,area
quad,2,dg,1,0.12,20,96,384,138,1.570796326794893,0.49693080706112086,0.28040838215777125,0.92580485624027276,-0.14768369243731128,1.2143037528418583,-0.35180382105204905,1.3915831092732038,1.7763568394002505e-15,0,2.1533978410611265e-14,1.6653345369377348e-16,12.566370614359165
quad,2,ofdg,1,0.12,20,96,384,138,1.570796326794893,0.63561305923778966,0.35866407774814885,1.3081091105000342,-0.025295919856174735,1.0216694205779144,-0.35180382105204905,1.3915831092732038,1.7763568394002505e-15,2.2204460492503131e-16,2.1533978410611265e-14,1.6653345369377348e-16,12.566370614359165
quad,3,dg,1,0.12,20,384,1536,315,1.5707963267948903,0.38750922553968259,0.21858573620317148,0.56755923071915548,-0.11499264349516024,1.1222093704224396,-0.33995648395199846,1.340892496614736,2.2204460492503131e-15,0,4.5971632636074819e-14,1.1102230246251565e-16,12.56637061435914
quad,3,ofdg,1,0.12,20,384,1536,315,1.5707963267948903,0.49289450715146549,0.27803133865046381,0.80550363096448796,-0.022243795631543131,1.0193695215951963,-0.33995648395199846,1.340892496614736,1.3322676295501878e-15,2.2204460492503131e-16,4.5971632636074819e-14,1.1102230246251565e-16,12.56637061435914
tri,2,ofdg,2,0.12,20,128,384,122,1.5707963267948934,6.6633754118544083e-15,1.8797034993181318e-15,1.7869233484887274e-14,0.99999999999998979,1.0000000000000073,0.99999999999998912,1.0000000000000109,3.5527136788005009e-15,0,6.5260189540811055e-14,2.7755575615628914e-16,12.566370614359156
quad,2,ofdg,2,0.12,20,96,384,138,1.570796326794893,2.1622183136143928e-15,6.0995052494872048e-16,5.5641154800865532e-15,0.99999999999999645,1.0000000000000036,0.99999999999999656,1.0000000000000036,5.3290705182007514e-15,0,2.1533978410611265e-14,1.6653345369377348e-16,12.566370614359165
tri,3,dg,0,0.059999999999999998,20,512,1536,553,1.5707963267949057,0.0032909337117511951,0.00089193488330610127,0.0079215405348398906,0.49790189225034354,1.5020981077496676,0.49902540644221977,1.5009745935577752,7.1054273576010019e-15,0,1.2390276449324508e-13,1.6653345369377348e-16,12.566370614359121
tri,3,ofdg,0,0.059999999999999998,20,512,1536,553,1.5707963267949057,0.0057252587611774019,0.0015517049118350858,0.014990899757119732,0.49998008669740551,1.5000199133026044,0.49902540644221977,1.5009745935577752,3.5527136788005009e-15,2.2204460492503131e-16,1.2390276449324508e-13,1.6653345369377348e-16,12.566370614359121
tri,2,dg,0,0.12,26,128,384,122,1.5707963267948934,0.01228562512461886,0.0033297472910927546,0.030406101501961044,0.48939924368154814,1.5106007563184494,0.49481321573028164,1.5051867842696993,3.5527136788005009e-15,0,4.7682757301406827e-14,2.7755575615628914e-16,12.566370614359201
tri,2,ofdg,0,0.12,26,128,384,122,1.5707963267948934,0.032125517277110431,0.0087069117805049813,0.085370132903316812,0.50619411033787198,1.4938058896621249,0.49481321573028164,1.5051867842696993,3.0198066269804258e-14,4.4408920985006262e-16,4.7682757301406827e-14,2.7755575615628914e-16,12.566370614359201
tri,3,dg,1,0.12,30,512,1536,277,1.5707963267948917,0.3951870123192962,0.22292470722010932,0.57825249613561303,-0.17881538975141978,1.1724645211746758,-0.6047048352417167,1.6044715807322232,2.2204460492503131e-15,0,1.3977776343855952e-13,1.9428902930940239e-16,12.566370614359112
tri,3,ofdg,1,0.12,30,512,1536,277,1.5707963267948917,0.48558101798403747,0.27391590029855001,0.77728841688764694,-0.044671161757017179,1.0267231670955703,-0.6047048352417167,1.6044715807322232,7.5495165674510645e-15,4.4408920985006262e-16,1.3977776343855952e-13,1.9428902930940239e-16,12.566370614359112
