n,p,curved,jump,method,cells,dofs,time_ms,time_q25_ms,time_q75_ms,slowdown,ratio_q25,ratio_q75,overhead_percent,direct_filter_share_percent,dg_ms,detector_ms,decay_ms,active_percent,filter_setup_ms,common_setup_ms,peak_mib,repetitions,trajectory_time,steps_per_trajectory,relative_iqr_percent,other_ms
64,3,True,False,ofdg-kxrcf,4096,65536,115.02333333333358,114.31366666666659,116.31808333333325,1.6850067264519337,1.6770852574394797,1.6851889161339173,68.50067264519338,40.83924056907743,67.62883333333332,32.564999999999365,14.542666666665482,0.0,2021.8600000000042,160.8900000000001,391.40625,5,0.005,12.0,1.74261743993971,0.0001666666665257425
16,2,False,True,dg,256,2304,2.697354838709686,2.688731182795694,2.7016129032258087,1.0,1.0,1.0,0.0,0.0,2.6972258064516184,0.0,0.0,,0.0,2.429000000000008,26.96875,5,0.005,3.0,0.4775686255753045,6.45161290406791e-05
16,2,False,True,ofdg,256,2304,3.9305757575757863,3.9191818181818148,3.9307424242424243,1.4548996834011854,1.4520173632326525,1.461932099941397,45.48996834011854,31.238740306032636,2.7032575757575787,0.0,1.2272424242424398,,1.685999999999854,2.429000000000008,26.96875,5,0.005,3.0,0.29411991457810205,6.060606059350504e-05
16,2,False,True,ofdg-kxrcf,256,2304,3.966363636363641,3.962393939393951,3.9703968253967936,1.4689924671866357,1.4687567064645775,1.4704434522696728,46.89924671866357,31.503644975848864,2.7162424242424317,0.6641587301587362,0.5843333333333381,20.833333333333336,3.344000000000014,2.429000000000008,26.96875,5,0.005,3.0,0.20176884261120168,3.0303030301378453e-05
16,2,True,True,dg,256,2304,3.298807692307681,3.279769230769234,3.300692307692323,1.0,1.0,1.0,0.0,0.0,3.2987307692307466,0.0,0.0,,0.0,5.552000000000001,44.984375,5,0.005,3.0,0.6342617962204489,7.692307692315386e-05
16,2,True,True,ofdg,256,2304,5.800511111111078,5.7023111111111175,5.812466666666644,1.768572940039026,1.7276106281769368,1.7726062103641549,76.8572940039026,41.49784495413898,3.38128888888888,0.0,2.4072222222222375,,66.76700000000002,5.552000000000001,44.984375,5,0.005,3.0,1.8990663657986957,4.444444445096519e-05
16,2,True,True,ofdg-kxrcf,256,2304,6.134571428571424,6.127142857142833,6.233690476190485,1.8563205188388558,1.83980533462232,1.9010652594279853,85.63205188388558,45.194681197895086,3.3620476190475976,1.810595238095252,0.9710238095238096,15.104166666666666,73.16699999999976,5.552000000000001,44.984375,5,0.005,3.0,1.7368388368812957,2.3809523812851857e-05
64,2,False,True,dg,4096,36864,43.222,42.87877777777775,45.720666666666666,1.0,1.0,1.0,0.0,0.0,43.22166666666661,0.0,0.0,,0.0,31.48,95.28125,5,0.005,9.0,6.575098072483728,0.00022222222215459748
64,2,False,True,ofdg,4096,36864,63.57477777777781,63.399111111111154,63.885444444444424,1.456025480850802,1.3905041726814529,1.4850929041963683,45.602548085080194,31.632565675066637,43.46400000000006,0.0,20.110333333333234,,26.08099999999958,31.48,95.28125,5,0.005,9.0,0.7649784243575687,0.000444444444503484
64,2,False,True,ofdg-kxrcf,4096,36864,61.125555555555685,61.039000000000016,62.02777777777779,1.4122206283836938,1.35666827060945,1.425543327572048,41.222062838369375,28.702849705988488,43.52377777777781,10.634555555555567,6.865444444444159,7.638888888888889,52.94500000000024,31.48,95.28125,5,0.005,9.0,1.617617654009048,0.00011111111107113085
64,2,True,True,dg,4096,36864,52.933444444444355,52.83066666666672,52.94222222222228,1.0,1.0,1.0,0.0,0.0,52.933333333333316,0.0,0.0,,0.0,77.417,204.3125,5,0.005,9.0,0.210746828826974,0.00011111111083058252
64,2,True,True,ofdg,4096,36864,96.08466666666665,93.65988888888863,97.20699999999995,1.7759993089324673,1.7548159406887778,1.8148967427803873,77.59993089324672,41.76189518040791,55.95733333333334,0.0,40.12677777777766,,1092.417000000001,77.417,204.3125,5,0.005,9.0,3.6916515758095163,0.00033333333367598544
64,2,True,True,ofdg-kxrcf,4096,36864,95.6747777777779,95.32911111111117,95.68499999999996,1.810970480108355,1.7912336299529892,1.814399908981352,81.09704801083551,43.771317878972546,53.557444444444535,28.92355555555583,12.809777777777732,6.995985243055555,1193.2310000000011,77.417,204.3125,5,0.005,9.0,0.37197775333787736,0.00022222222244603102
