family,n,p,amplitude,basis,map,extra,field,derivative,order,method,error_ratio,face_ratio,jump_ratio,relative_l2,error_l2
quad,16.0,2.0,1.2,gll,coupled,0.0,sine,x,1,physical_k,1.8451232407001288,1.8331145259642891,18.40252150443878,0.002408738131325596,0.0034167873409133406
quad,16.0,2.0,1.2,gll,coupled,0.0,sine,x,1,physical_k1,0.9996535356651614,0.9993046892674619,1.2099051640354899,0.0013050096255670437,0.0018511519830317358
quad,16.0,2.0,1.2,gll,coupled,0.0,sine,x,1,physical_k2,1.0001034674730056,1.0005139072637985,1.0259008730985508,0.0013055969944094847,0.0018519851638574964
quad,16.0,2.0,1.2,gll,coupled,0.0,sine,y,1,physical_k,1.41059044390897,1.3786796615365684,10.597174582557678,0.0024605194032101835,0.00523535836438156
quad,16.0,2.0,1.2,gll,coupled,0.0,sine,y,1,physical_k1,0.9996863913135066,0.9997369796135667,1.0937920951688829,0.001743771747195238,0.0037103019754040904
quad,16.0,2.0,1.2,gll,coupled,0.0,sine,y,1,physical_k2,1.0000873090490334,1.0004558727129877,0.9774626710397387,0.0017444710755308399,0.0037117899679175678
quad,16.0,2.0,1.2,gll,coupled,0.0,sine,xx,2,physical_k,0.9622793343937505,0.9924275288039073,0.9985986318092022,0.06439348775340256,0.18157898588951168
quad,16.0,2.0,1.2,gll,coupled,0.0,sine,xx,2,physical_k1,0.998636014164517,0.9981447195645469,0.9988659937050615,0.06682639193194673,0.18843937331250943
quad,16.0,2.0,1.2,gll,coupled,0.0,sine,xx,2,physical_k2,1.0000803717089497,1.0008035323003355,1.0007899889218121,0.0669230449686739,0.18871191889133057
quad,16.0,2.0,1.2,gll,coupled,0.0,sine,xy,2,physical_k,6.701734018683948,6.429325726065819,6.837963416115217,0.06435708247546096,0.27221449353978633
quad,16.0,2.0,1.2,gll,coupled,0.0,sine,xy,2,physical_k1,1.0109271849419417,1.0073480294632118,1.0644359581317375,0.009707983640742927,0.04106236250011796
