family,n,p,amplitude,basis,map,extra,field,derivative,error_l2_fe_over_recursive,error_l2_fe_minus_direct,face_rms_fe_over_recursive,face_rms_fe_minus_direct,jump_rms_fe_over_recursive,jump_rms_fe_minus_direct,fe_operator_relative_l2
tri,4.0,3.0,1.2,bernstein,coupled,0.0,constant,xyy,nan,-1.5793979820934372e-23,nan,-4.022165728539097e-23,nan,-7.403266482349598e-23,9.731433384674418e-13
tri,4.0,3.0,1.2,bernstein,coupled,0.0,constant,yyy,nan,-1.9593840759849843e-23,nan,-4.880365614062863e-23,nan,-6.710502719336437e-23,7.390203607723785e-13
tri,4.0,3.0,0.7,gl,separable,0.0,represented_quadratic,x,1.7234808013780556e-10,2.2488872216147403e-13,1.5322980373877188e-10,7.674619306218282e-13,1.5764423435070572e-10,6.026161090009472e-13,2.643165961155211e-13
tri,4.0,3.0,0.7,gl,separable,0.0,represented_quadratic,y,1.8930162976495934e-09,1.7415707772548667e-13,1.6694229289904635e-09,4.923784736913338e-13,2.000852787227266e-09,5.484233589500204e-13,2.0031730823810806e-13
tri,4.0,3.0,0.7,gl,separable,0.0,represented_quadratic,xx,1.0316735472351313e-10,5.0355771091035714e-11,8.014019921176868e-11,1.6622945160867478e-10,2.3013822587813178e-10,2.1164306901124856e-10,4.002978641495419e-12
tri,4.0,3.0,0.7,gl,separable,0.0,represented_quadratic,xy,3.1166379751558353e-09,1.8259957495598906e-11,2.8696562303428587e-09,5.4275332812628566e-11,2.742058340552306e-09,7.636346087558737e-11,2.3895420731818322e-11
tri,4.0,3.0,0.7,gl,separable,0.0,represented_quadratic,yy,9.598147961118953e-10,1.689660369457488e-11,7.114276618807288e-10,3.949517004313246e-11,4.908310066109012e-10,1.3478143987700034e-11,3.932440906271024e-12
tri,4.0,3.0,0.7,gl,separable,0.0,represented_quadratic,xxx,3.208620678350686e-11,3.6300514811366523e-09,3.0584015294666585e-11,1.3007546984820959e-08,1.995285051034332e-10,1.7081689016205782e-08,7.32150239598849e-12
tri,4.0,3.0,0.7,gl,separable,0.0,represented_quadratic,xxy,1.7711789198918515e-09,1.224220636843775e-09,1.430182670630026e-09,3.300335522040109e-09,1.5266062505091777e-09,2.8451220862540396e-09,2.3599391731546387e-10
tri,4.0,3.0,0.7,gl,separable,0.0,represented_quadratic,xyy,3.86911553457183e-08,1.133664356375489e-09,2.983572984791816e-08,2.8010879505395323e-09,5.0494872602538755e-08,4.5125860516366794e-09,6.248415506246261e-10
tri,4.0,3.0,0.7,gl,separable,0.0,represented_quadratic,yyy,5.604021561445383e-10,1.4002533064996205e-09,4.377443285259416e-10,2.735753140993412e-09,2.1353486897851033e-09,3.9729964930474245e-09,2.879895959808193e-11
tri,4.0,3.0,0.7,gl,separable,0.0,constant,x,nan,-8.002205022561944e-27,nan,-3.4432200791086723e-26,nan,-8.547465680250707e-26,nan
tri,4.0,3.0,0.7,gl,separable,0.0,constant,y,nan,-1.994240368398718e-27,nan,-8.077935669463161e-27,nan,1.9185097214975007e-27,nan
tri,4.0,3.0,0.7,gl,separable,0.0,constant,xx,nan,-1.5978156754198132e-24,nan,-6.3137145192524065e-24,nan,-2.4198264091443845e-23,1.166940027138579e-12
tri,4.0,3.0,0.7,gl,separable,0.0,constant,xy,nan,-5.412216898540318e-25,nan,-2.2085076120312282e-24,nan,-5.950207414126564e-24,6.440082097956742e-13
tri,4.0,3.0,0.7,gl,separable,0.0,constant,yy,nan,1.9467824963406218e-25,nan,3.618915179919496e-25,nan,3.715850407953054e-26,4.2924769353269833e-13
tri,4.0,3.0,0.7,gl,separable,0.0,constant,xxx,nan,4.727854188623399e-22,nan,1.9513190650125923e-21,nan,2.4100424134615307e-21,5.278410753571573e-12
tri,4.0,3.0,0.7,gl,separable,0.0,constant,xxy,nan,-2.5875243536424397e-23,nan,-5.790264287871194e-24,nan,3.064445675567545e-23,3.4564747968632068e-12
tri,4.0,3.0,0.7,gl,separable,0.0,constant,xyy,nan,-1.7254470589973312e-23,nan,-6.201269654733479e-23,nan,-1.9820022958594812e-22,2.0081963591790994e-12
tri,4.0,3.0,0.7,gl,separable,0.0,constant,yyy,nan,4.132025653643796e-23,nan,1.478585344938537e-22,nan,3.640628670999013e-22,2.417135785423818e-12
tri,4.0,3.0,0.7,bernstein,separable,0.0,represented_quadratic,x,3.382161329971917e-10,8.556558767268807e-14,2.7048412210057577e-10,3.590725145504275e-13,2.8676745380944667e-10,-3.041461750219735e-13,2.643162524741589e-13
