dimension,n,curved,field,order,method,max_scaled_error,max_absolute_error,max_nonzero_relative_error
2.0,32.0,0.0,quintic,2.0,recursive,1.6794898805017056e-12,1.6794898805017056e-12,5.9180438327643945e-12
2.0,32.0,0.0,quintic,2.0,direct,2.138039745247511e-12,2.138039745247511e-12,8.55215898099004e-12
2.0,32.0,0.0,quintic,2.0,fe_geometry,7.404410418132557e-12,7.404410418132557e-12,2.083914981356567e-11
2.0,32.0,0.0,quintic,3.0,recursive,4.319218760429066e-10,5.399023450536333e-10,4.319218760429066e-10
2.0,32.0,0.0,quintic,3.0,direct,6.147867992467581e-10,7.684834990584477e-10,6.147867992467581e-10
2.0,32.0,0.0,quintic,3.0,fe_geometry,7.054653750060424e-10,8.818317187575531e-10,7.054653750060424e-10
2.0,32.0,0.0,quintic,4.0,recursive,1.5198831486699727e-07,1.5198831486699727e-07,4.768909933616783e-09
2.0,32.0,0.0,quintic,4.0,direct,1.539746499021659e-07,1.539746499021659e-07,3.3156420942148657e-09
2.0,32.0,0.0,quintic,4.0,fe_geometry,1.704416918220758e-07,1.704416918220758e-07,1.294499241133451e-08
2.0,32.0,0.0,quintic,5.0,recursive,3.299782148592743e-05,3.299782148592743e-05,1.0305905497887125e-07
2.0,32.0,0.0,quintic,5.0,direct,3.159408491281283e-05,3.159408491281283e-05,1.8414216190384044e-07
2.0,32.0,0.0,quintic,5.0,fe_geometry,3.613074973642729e-05,3.613074973642729e-05,1.8825390952770248e-07
2.0,32.0,0.0,quintic,6.0,recursive,0.006125498998286601,0.006125498998286601,nan
2.0,32.0,0.0,quintic,6.0,direct,0.0066813932273484524,0.0066813932273484524,nan
2.0,32.0,0.0,quintic,6.0,fe_geometry,0.007313916866916949,0.007313916866916949,nan
2.0,32.0,0.0,quintic,7.0,recursive,1.1882728532650877,1.1882728532650877,nan
2.0,32.0,0.0,quintic,7.0,direct,0.8379142808908223,0.8379142808908223,nan
2.0,32.0,0.0,quintic,7.0,fe_geometry,0.8730863352515333,0.8730863352515333,nan
2.0,32.0,0.0,quintic,8.0,recursive,257.2929109149748,257.2929109149748,nan
2.0,32.0,0.0,quintic,8.0,direct,115.56274088287357,115.56274088287357,nan
2.0,32.0,0.0,quintic,8.0,fe_geometry,125.03188691067682,125.03188691067682,nan
2.0,32.0,0.0,quintic,9.0,recursive,36681.540387987814,36681.540387987814,nan
2.0,32.0,0.0,quintic,9.0,direct,15802.078938354496,15802.078938354496,nan
2.0,32.0,0.0,quintic,9.0,fe_geometry,16392.655094079077,16392.655094079077,nan
2.0,32.0,0.0,quintic,10.0,recursive,2780710.555667639,2780710.555667639,nan
2.0,32.0,0.0,quintic,10.0,direct,1062239.0044921876,1062239.0044921876,nan
2.0,32.0,0.0,quintic,10.0,fe_geometry,1055759.4719665723,1055759.4719665723,nan
2.0,2.0,1.0,constant,1.0,recursive,7.454798722819259e-14,7.454798722819259e-14,nan
2.0,2.0,1.0,constant,1.0,direct,3.4928166835601884e-14,3.4928166835601884e-14,nan
2.0,2.0,1.0,constant,1.0,fe_geometry,3.492816683560159e-14,3.492816683560159e-14,nan
2.0,2.0,1.0,constant,2.0,recursive,2.1882961832373195e-12,2.1882961832373195e-12,nan
2.0,2.0,1.0,constant,2.0,direct,7.109993345251571e-13,7.109993345251571e-13,nan
2.0,2.0,1.0,constant,2.0,fe_geometry,7.109993345251456e-13,7.109993345251456e-13,nan
2.0,2.0,1.0,constant,3.0,recursive,3.4322193531864717e-11,3.4322193531864717e-11,nan
2.0,2.0,1.0,constant,3.0,direct,1.1136636932876602e-11,1.1136636932876602e-11,nan
