dimension,n,curved,capacity,point,xi,eta,zeta,x,y,z,field,dx,dy,dz,order,method,value,input_error,geometry_residual,inverse_residual,initialization_seconds,evaluation_seconds,reference,absolute_error,scaled_error,relative_error
2.0,2.0,0.0,10.0,0.0,0.23,0.31,0.37,0.3150000000000003,0.4550000000000004,0.0,constant,1.0,4.0,0.0,5.0,recursive,-2.491576261418446e-10,6.661338147750939e-16,2.7755575615628914e-15,5.048709793414476e-29,0.0004440420016180724,0.0005511669733095914,0.0,2.491576261418446e-10,2.491576261418446e-10,nan
2.0,2.0,0.0,10.0,0.0,0.23,0.31,0.37,0.3150000000000003,0.4550000000000004,0.0,constant,1.0,4.0,0.0,5.0,direct,-6.120965161244385e-10,6.661338147750939e-16,2.7755575615628914e-15,5.048709793414476e-29,0.0004440420016180724,0.0005511669733095914,0.0,6.120965161244385e-10,6.120965161244385e-10,nan
2.0,2.0,0.0,10.0,0.0,0.23,0.31,0.37,0.3150000000000003,0.4550000000000004,0.0,constant,1.0,4.0,0.0,5.0,fe_geometry,-6.120965161244306e-10,6.661338147750939e-16,2.7755575615628914e-15,5.048709793414476e-29,0.0004440420016180724,0.0005511669733095914,0.0,6.120965161244306e-10,6.120965161244306e-10,nan
2.0,2.0,0.0,10.0,0.0,0.23,0.31,0.37,0.3150000000000003,0.4550000000000004,0.0,constant,0.0,5.0,0.0,5.0,recursive,2.1250841268798547e-09,6.661338147750939e-16,2.7755575615628914e-15,5.048709793414476e-29,0.0004440420016180724,0.0005511669733095914,0.0,2.1250841268798547e-09,2.1250841268798547e-09,nan
2.0,2.0,0.0,10.0,0.0,0.23,0.31,0.37,0.3150000000000003,0.4550000000000004,0.0,constant,0.0,5.0,0.0,5.0,direct,9.234798542456702e-10,6.661338147750939e-16,2.7755575615628914e-15,5.048709793414476e-29,0.0004440420016180724,0.0005511669733095914,0.0,9.234798542456702e-10,9.234798542456702e-10,nan
2.0,2.0,0.0,10.0,0.0,0.23,0.31,0.37,0.3150000000000003,0.4550000000000004,0.0,constant,0.0,5.0,0.0,5.0,fe_geometry,9.234798542456472e-10,6.661338147750939e-16,2.7755575615628914e-15,5.048709793414476e-29,0.0004440420016180724,0.0005511669733095914,0.0,9.234798542456472e-10,9.234798542456472e-10,nan
2.0,2.0,0.0,10.0,0.0,0.23,0.31,0.37,0.3150000000000003,0.4550000000000004,0.0,constant,6.0,0.0,0.0,6.0,recursive,-1.5007065714316908e-08,6.661338147750939e-16,2.7755575615628914e-15,5.048709793414476e-29,0.0004440420016180724,0.0005511669733095914,0.0,1.5007065714316908e-08,1.5007065714316908e-08,nan
2.0,2.0,0.0,10.0,0.0,0.23,0.31,0.37,0.3150000000000003,0.4550000000000004,0.0,constant,6.0,0.0,0.0,6.0,direct,0.0,6.661338147750939e-16,2.7755575615628914e-15,5.048709793414476e-29,0.0004440420016180724,0.0005511669733095914,0.0,0.0,0.0,nan
2.0,2.0,0.0,10.0,0.0,0.23,0.31,0.37,0.3150000000000003,0.4550000000000004,0.0,constant,6.0,0.0,0.0,6.0,fe_geometry,7.947571081306398e-21,6.661338147750939e-16,2.7755575615628914e-15,5.048709793414476e-29,0.0004440420016180724,0.0005511669733095914,0.0,7.947571081306398e-21,7.947571081306398e-21,nan
2.0,2.0,0.0,10.0,0.0,0.23,0.31,0.37,0.3150000000000003,0.4550000000000004,0.0,constant,5.0,1.0,0.0,6.0,recursive,-3.035384498525195e-08,6.661338147750939e-16,2.7755575615628914e-15,5.048709793414476e-29,0.0004440420016180724,0.0005511669733095914,0.0,3.035384498525195e-08,3.035384498525195e-08,nan
2.0,2.0,0.0,10.0,0.0,0.23,0.31,0.37,0.3150000000000003,0.4550000000000004,0.0,constant,5.0,1.0,0.0,6.0,direct,-7.564213156001644e-09,6.661338147750939e-16,2.7755575615628914e-15,5.048709793414476e-29,0.0004440420016180724,0.0005511669733095914,0.0,7.564213156001644e-09,7.564213156001644e-09,nan
