dimension,n,curved,capacity,point,xi,eta,zeta,x,y,z,field,dx,dy,dz,order,method,value,input_error,geometry_residual,inverse_residual,initialization_seconds,evaluation_seconds
2,2,0,10,0,0.23000000000000001,0.31,0.37,0.31500000000000028,0.4550000000000004,0,constant,1,4,0,5,recursive,-2.4915762614184458e-10,6.6613381477509392e-16,2.7755575615628914e-15,5.0487097934144756e-29,0.00044404200161807239,0.00055116697330959141
2,2,0,10,0,0.23000000000000001,0.31,0.37,0.31500000000000028,0.4550000000000004,0,constant,1,4,0,5,direct,-6.1209651612443848e-10,6.6613381477509392e-16,2.7755575615628914e-15,5.0487097934144756e-29,0.00044404200161807239,0.00055116697330959141
2,2,0,10,0,0.23000000000000001,0.31,0.37,0.31500000000000028,0.4550000000000004,0,constant,1,4,0,5,fe_geometry,-6.1209651612443062e-10,6.6613381477509392e-16,2.7755575615628914e-15,5.0487097934144756e-29,0.00044404200161807239,0.00055116697330959141
2,2,0,10,0,0.23000000000000001,0.31,0.37,0.31500000000000028,0.4550000000000004,0,constant,0,5,0,5,recursive,2.1250841268798547e-09,6.6613381477509392e-16,2.7755575615628914e-15,5.0487097934144756e-29,0.00044404200161807239,0.00055116697330959141
2,2,0,10,0,0.23000000000000001,0.31,0.37,0.31500000000000028,0.4550000000000004,0,constant,0,5,0,5,direct,9.2347985424567019e-10,6.6613381477509392e-16,2.7755575615628914e-15,5.0487097934144756e-29,0.00044404200161807239,0.00055116697330959141
2,2,0,10,0,0.23000000000000001,0.31,0.37,0.31500000000000028,0.4550000000000004,0,constant,0,5,0,5,fe_geometry,9.2347985424564724e-10,6.6613381477509392e-16,2.7755575615628914e-15,5.0487097934144756e-29,0.00044404200161807239,0.00055116697330959141
2,2,0,10,0,0.23000000000000001,0.31,0.37,0.31500000000000028,0.4550000000000004,0,constant,6,0,0,6,recursive,-1.5007065714316908e-08,6.6613381477509392e-16,2.7755575615628914e-15,5.0487097934144756e-29,0.00044404200161807239,0.00055116697330959141
2,2,0,10,0,0.23000000000000001,0.31,0.37,0.31500000000000028,0.4550000000000004,0,constant,6,0,0,6,direct,0,6.6613381477509392e-16,2.7755575615628914e-15,5.0487097934144756e-29,0.00044404200161807239,0.00055116697330959141
2,2,0,10,0,0.23000000000000001,0.31,0.37,0.31500000000000028,0.4550000000000004,0,constant,6,0,0,6,fe_geometry,7.9475710813063979e-21,6.6613381477509392e-16,2.7755575615628914e-15,5.0487097934144756e-29,0.00044404200161807239,0.00055116697330959141
2,2,0,10,0,0.23000000000000001,0.31,0.37,0.31500000000000028,0.4550000000000004,0,constant,5,1,0,6,recursive,-3.0353844985251947e-08,6.6613381477509392e-16,2.7755575615628914e-15,5.0487097934144756e-29,0.00044404200161807239,0.00055116697330959141
2,2,0,10,0,0.23000000000000001,0.31,0.37,0.31500000000000028,0.4550000000000004,0,constant,5,1,0,6,direct,-7.5642131560016437e-09,6.6613381477509392e-16,2.7755575615628914e-15,5.0487097934144756e-29,0.00044404200161807239,0.00055116697330959141
2,2,0,10,0,0.23000000000000001,0.31,0.37,0.31500000000000028,0.4550000000000004,0,constant,5,1,0,6,fe_geometry,-7.5642131560001978e-09,6.6613381477509392e-16,2.7755575615628914e-15,5.0487097934144756e-29,0.00044404200161807239,0.00055116697330959141
2,2,0,10,0,0.23000000000000001,0.31,0.37,0.31500000000000028,0.4550000000000004,0,constant,4,2,0,6,recursive,-2.0334861199449235e-08,6.6613381477509392e-16,2.7755575615628914e-15,5.0487097934144756e-29,0.00044404200161807239,0.00055116697330959141
2,2,0,10,0,0.23000000000000001,0.31,0.37,0.31500000000000028,0.4550000000000004,0,constant,4,2,0,6,direct,1.0874944855459043e-08,6.6613381477509392e-16,2.7755575615628914e-15,5.0487097934144756e-29,0.00044404200161807239,0.00055116697330959141
2,2,0,10,0,0.23000000000000001,0.31,0.37,0.31500000000000028,0.4550000000000004,0,constant,4,2,0,6,fe_geometry,1.0874944855458945e-08,6.6613381477509392e-16,2.7755575615628914e-15,5.0487097934144756e-29,0.00044404200161807239,0.00055116697330959141
2,2,0,10,0,0.23000000000000001,0.31,0.37,0.31500000000000028,0.4550000000000004,0,constant,3,3,0,6,recursive,-2.9762489990405173e-09,6.6613381477509392e-16,2.7755575615628914e-15,5.0487097934144756e-29,0.00044404200161807239,0.00055116697330959141
2,2,0,10,0,0.23000000000000001,0.31,0.37,0.31500000000000028,0.4550000000000004,0,constant,3,3,0,6,direct,1.7685257771518086e-08,6.6613381477509392e-16,2.7755575615628914e-15,5.0487097934144756e-29,0.00044404200161807239,0.00055116697330959141
2,2,0,10,0,0.23000000000000001,0.31,0.37,0.31500000000000028,0.4550000000000004,0,constant,3,3,0,6,fe_geometry,1.7685257771517642e-08,6.6613381477509392e-16,2.7755575615628914e-15,5.0487097934144756e-29,0.00044404200161807239,0.00055116697330959141
2,2,0,10,0,0.23000000000000001,0.31,0.37,0.31500000000000028,0.4550000000000004,0,constant,2,4,0,6,recursive,-3.0761373698321361e-08,6.6613381477509392e-16,2.7755575615628914e-15,5.0487097934144756e-29,0.00044404200161807239,0.00055116697330959141
2,2,0,10,0,0.23000000000000001,0.31,0.37,0.31500000000000028,0.4550000000000004,0,constant,2,4,0,6,direct,3.2330100657418366e-09,6.6613381477509392e-16,2.7755575615628914e-15,5.0487097934144756e-29,0.00044404200161807239,0.00055116697330959141
2,2,0,10,0,0.23000000000000001,0.31,0.37,0.31500000000000028,0.4550000000000004,0,constant,2,4,0,6,fe_geometry,3.233010065741184e-09,6.6613381477509392e-16,2.7755575615628914e-15,5.0487097934144756e-29,0.00044404200161807239,0.00055116697330959141
2,2,0,10,0,0.23000000000000001,0.31,0.37,0.31500000000000028,0.4550000000000004,0,constant,1,5,0,6,recursive,2.4136875696608914e-09,6.6613381477509392e-16,2.7755575615628914e-15,5.0487097934144756e-29,0.00044404200161807239,0.00055116697330959141
2,2,0,10,0,0.23000000000000001,0.31,0.37,0.31500000000000028,0.4550000000000004,0,constant,1,5,0,6,direct,9.829571354202927e-09,6.6613381477509392e-16,2.7755575615628914e-15,5.0487097934144756e-29,0.00044404200161807239,0.00055116697330959141
2,2,0,10,0,0.23000000000000001,0.31,0.37,0.31500000000000028,0.4550000000000004,0,constant,1,5,0,6,fe_geometry,9.829571354202439e-09,6.6613381477509392e-16,2.7755575615628914e-15,5.0487097934144756e-29,0.00044404200161807239,0.00055116697330959141
2,2,0,10,0,0.23000000000000001,0.31,0.37,0.31500000000000028,0.4550000000000004,0,constant,0,6,0,6,recursive,-1.5696804740206113e-08,6.6613381477509392e-16,2.7755575615628914e-15,5.0487097934144756e-29,0.00044404200161807239,0.00055116697330959141
2,2,0,10,0,0.23000000000000001,0.31,0.37,0.31500000000000028,0.4550000000000004,0,constant,0,6,0,6,direct,0,6.6613381477509392e-16,2.7755575615628914e-15,5.0487097934144756e-29,0.00044404200161807239,0.00055116697330959141
2,2,0,10,0,0.23000000000000001,0.31,0.37,0.31500000000000028,0.4550000000000004,0,constant,0,6,0,6,fe_geometry,-3.8443075581293623e-22,6.6613381477509392e-16,2.7755575615628914e-15,5.0487097934144756e-29,0.00044404200161807239,0.00055116697330959141
