dimension,n,curved,field,method,order,max_absolute_error,max_scaled_error,max_element_scaled_error,discrete_relative_l2
2,2,0,quintic,fe_geometry,4,7.227648502804905e-11,7.227648502804905e-11,4.517280314253066e-12,7.280577643154503e-13
2,2,0,quintic,reused,4,8.952838470577262e-12,1.8115681666087855e-12,5.595524044110789e-13,8.783525653706972e-14
2,2,0,quintic,reused_centered,4,9.066525308298878e-12,6.5355887328615945e-12,5.666578317686799e-13,1.0417379878078879e-13
2,2,0,quintic,recursive,5,3.8913583466637647e-10,2.4172717862545413e-10,1.2160494833324265e-11,2.388558527983267e-12
2,2,0,quintic,direct,5,1.078912491720985e-09,1.078912491720985e-09,3.371601536628078e-11,5.0795606797978546e-12
2,2,0,quintic,fe_geometry,5,1.1383016940372349e-09,1.1383016940372349e-09,3.557192793866359e-11,5.3566446936336084e-12
2,2,0,quintic,reused,5,1.0888356882787775e-10,5.3524699950922255e-11,3.4026115258711798e-12,5.294316139383987e-13
2,2,0,quintic,reused_centered,5,1.5081980109243887e-10,9.330961389583153e-11,4.7131187841387145e-12,7.682606362880358e-13
2,2,0,quintic,recursive,6,6.395487204982486e-09,6.395487204982486e-09,9.992948757785135e-11,nan
2,2,0,quintic,direct,6,1.495796672315919e-08,1.495796672315919e-08,2.3371823004936233e-10,nan
2,2,0,quintic,fe_geometry,6,1.5385992335393115e-08,1.5385992335393115e-08,2.404061302405174e-10,nan
2,2,0,quintic,reused,6,1.1447762895884564e-09,1.1447762895884564e-09,1.788712952481963e-11,nan
2,2,0,quintic,reused_centered,6,1.7252319573314455e-09,1.7252319573314455e-09,2.6956749333303837e-11,nan
2,2,0,quintic,recursive,7,1.2181141964345751e-07,1.2181141964345751e-07,9.516517159645118e-10,nan
2,2,0,quintic,direct,7,1.974564220290631e-07,1.974564220290631e-07,1.5426282971020554e-09,nan
2,2,0,quintic,fe_geometry,7,2.0951772961867446e-07,2.0951772961867446e-07,1.6368572626458942e-09,nan
2,2,0,quintic,reused,7,1.517860440012059e-08,1.517860440012059e-08,1.185828468759421e-10,nan
2,2,0,quintic,reused_centered,7,1.752841480894579e-08,1.752841480894579e-08,1.3694074069488898e-10,nan
2,2,0,quintic,recursive,8,2.0914948995583942e-06,2.0914948995583942e-06,8.169901951399977e-09,nan
2,2,0,quintic,direct,8,2.8794215759262444e-06,2.8794215759262444e-06,1.1247740530961892e-08,nan
2,2,0,quintic,fe_geometry,8,2.9806156238988484e-06,2.9806156238988484e-06,1.1643029780854877e-08,nan
2,2,0,quintic,reused,8,3.669999893375257e-07,3.669999893375257e-07,1.4335937083497097e-09,nan
2,2,0,quintic,reused_centered,8,2.635706961023467e-07,2.635706961023467e-07,1.0295730316497917e-09,nan
2,2,0,quintic,recursive,9,4.147857526966747e-05,4.147857526966747e-05,8.101284232356928e-08,nan
2,2,0,quintic,direct,9,2.4378777947276828e-05,2.4378777947276828e-05,4.7614800678275055e-08,nan
2,2,0,quintic,fe_geometry,9,2.4530167033039768e-05,2.4530167033039768e-05,4.7910482486405796e-08,nan
2,2,0,quintic,reused,9,3.997558107139405e-06,3.997558107139405e-06,7.80773067800665e-09,nan
2,2,0,quintic,reused_centered,9,3.2683892006893117e-06,3.2683892006893117e-06,6.383572657596312e-09,nan
2,2,0,quintic,recursive,10,0.00042044317313818874,0.00042044317313818874,4.1058903626776244e-07,nan
2,2,0,quintic,direct,10,9.624488884583115e-05,9.624488884583115e-05,9.398914926350698e-08,nan
2,2,0,quintic,fe_geometry,10,9.607340550464158e-05,9.607340550464158e-05,9.382168506312655e-08,nan
2,2,0,quintic,reused,10,3.326147607734759e-05,3.326147607734759e-05,3.248191023178475e-08,nan
2,2,0,quintic,reused_centered,10,2.594320467156485e-05,2.594320467156485e-05,2.533516081207505e-08,nan
2,8,0,constant,recursive,1,1.143325317149075e-13,1.143325317149075e-13,1.4291566464363436e-14,nan
2,8,0,constant,direct,1,1.6840189687172824e-13,1.6840189687172824e-13,2.105023710896603e-14,nan
2,8,0,constant,fe_geometry,1,1.6840189687172198e-13,1.6840189687172198e-13,2.1050237108965247e-14,nan
2,8,0,constant,reused,1,7.633493988645554e-15,7.633493988645554e-15,9.541867485806943e-16,nan
