dimension,n,dx,dy,dz,order,method,value,stored_reference,ideal_reference,representation_error,total_error,element_scaled_error,absolute_error,scaled_error,relative_error,step_sensitivity
2,32,3,0,0,3,recursive,1.3634897177023044267940576901310123503208160400390625,1.363489410374225517571339502204585522546127500115323232942573083872170716607545344,1.36348941037559341565685275961873259803785942506170484155791406352804864801706432852105010,1.36789808551325741414707549173192494638160861534097965587793140951898452105010E-12,3.0732671101113720493051227975228295661497735765844208593647195135198293567147894990E-7,9.378908658118369085324903162468709977414664894624555264774408852642592E-12,3.07328078909222718187926426827774688539923739267057426916127829283392454656E-7,2.25398214735582694858515307972405495586951814525102707358035175963328290795035115720661425E-7,2.25398214735582694858515307972405495586951814525102707358035175963328290795035115720661425E-7,2.47059091088042615749193221700349852395592144738195551539692892372042559605403366645777281E-20
2,32,3,0,0,3,direct,1.363489410392074940858719855896197259426116943359375,1.363489410374225517571339502204585522546127500115323232942573083872170716607545344,1.36348941037559341565685275961873259803785942506170484155791406352804864801706432852105010,1.36789808551325741414707549173192494638160861534097965587793140951898452105010E-12,1.648152520186709627746466138825751829767015844208593647195135198293567147894990E-11,5.44721169658824270373893337402021583375603242719327274408852642592E-16,1.7849423287380353691611736879989443244051767057426916127829283392454656E-11,1.30909878372149380996731513706700474140050766230149856042816735705662518559951091028212981E-11,1.30909878372149380996731513706700474140050766230149856042816735705662518559951091028212981E-11,2.47059091088042615749193221700349852395592144738195551539692892372042559605403366645777281E-20
2,32,3,0,0,3,fe_geometry,1.3634894102260182169317204170511104166507720947265625,1.363489410374225517571339502204585522546127500115323232942573083872170716607545344,1.36348941037559341565685275961873259803785942506170484155791406352804864801706432852105010,1.36789808551325741414707549173192494638160861534097965587793140951898452105010E-12,1.4957519872513234256762218138708733033514234155791406352804864801706432852105010E-10,4.522927875964937901412204159404156658592551664507235225591147357408E-15,1.48207300639619085153475105895355405388760732942573083872170716607545344E-10,1.08697067620746587804165142465477809228885365970434932762215445263405994997197389453162563E-10,1.08697067620746587804165142465477809228885365970434932762215445263405994997197389453162563E-10,2.47059091088042615749193221700349852395592144738195551539692892372042559605403366645777281E-20
2,32,3,0,0,3,reused,1.3634894104041970219753920900984667241573333740234375,1.363489410374225517571339502204585522546127500115323232942573083872170716607545344,1.36348941037559341565685275961873259803785942506170484155791406352804864801706432852105010,1.36789808551325741414707549173192494638160861534097965587793140951898452105010E-12,2.860360631853933047973412611947394896173265844208593647195135198293567147894990E-11,9.14657727174456417659948779638851132449776216352139774408852642592E-16,2.9971504404052587893881201611205873908114267057426916127829283392454656E-11,2.19814720789262016550352933630092102410650976866521059920880702935894220143769542965516528E-11,2.19814720789262016550352933630092102410650976866521059920880702935894220143769542965516528E-11,2.47059091088042615749193221700349852395592144738195551539692892372042559605403366645777281E-20
2,32,3,0,0,3,reused_centered,1.3634894103817065680317455189651809632778167724609375,1.363489410374225517571339502204585522546127500115323232942573083872170716607545344,1.36348941037559341565685275961873259803785942506170484155791406352804864801706432852105010,1.36789808551325741414707549173192494638160861534097965587793140951898452105010E-12,6.11315237489275934644836523995734739923265844208593647195135198293567147894990E-12,2.28303541882507835711530784048134532031685396039639774408852642592E-16,7.481050460406016760595440731689272345614267057426916127829283392454656E-12,5.48669494862652105504041053700497665017880432498162351557763285139773335461873738261469819E-12,5.48669494862652105504041053700497665017880432498162351557763285139773335461873738261469819E-12,2.47059091088042615749193221700349852395592144738195551539692892372042559605403366645777281E-20
2,32,5,0,0,5,recursive,94.035158508998648585475166328251361846923828125,94.070374332970382569846172600195345859570503458258745698082474386119458816,94.0703744843245720474467459798135263272873339492081629095152158818912520660822394819845752,1.513541894776005733796181804677168304909494172114327414957717932500822394819845752E-7,0.0352159753259234619715796515621644803635058242081629095152158818912520660822394819845752,1.049513339153944980234094618081570048531154789291194024159740988E-9,0.035215823971733984371006271943984012646675333258745698082474386119458816,0.000374356158582769863658917606362265802317998288668301160784368843396337533136432949698704005,0.000374356158582769863658917606362265802317998288668301160784368843396337533136432949698704005,6.11443972661898658184202109844913465622497121866765401046234506561981831563598933145889821E-20
2,32,5,0,0,5,direct,94.070375032785904068077798001468181610107421875,94.070374332970382569846172600195345859570503458258745698082474386119458816,94.0703744843245720474467459798135263272873339492081629095152158818912520660822394819845752,1.513541894776005733796181804677168304909494172114327414957717932500822394819845752E-7,5.484613320206310520216546552828200879257918370904847841181087479339177605180154248E-7,2.0856127783603418630399490468220022869609035679755137134012E-14,6.99815521498231625401272835750536918416741254301917525613880541184E-7,7.43927646148374934682599763507259877689043284686302634744618787575228008031769790464559560E-9,7.43927646148374934682599763507259877689043284686302634744618787575228008031769790464559560E-9,6.11443972661898658184202109844913465622497121866765401046234506561981831563598933145889821E-20
2,32,5,0,0,5,fe_geometry,94.0703752526562055891190539114177227020263671875,94.070374332970382569846172600195345859570503458258745698082474386119458816,94.0703744843245720474467459798135263272873339492081629095152158818912520660822394819845752,1.513541894776005733796181804677168304909494172114327414957717932500822394819845752E-7,7.683316335416723079316041963747390332382918370904847841181087479339177605180154248E-7,2.7408773393013265171981524730993982068575658032355234790262E-14,9.19685823019272881311222376842455863729241254301917525613880541184E-7,9.77657237510253586694086462287769356136106645630076824306123392368142414564841355931133231E-9,9.77657237510253586694086462287769356136106645630076824306123392368142414564841355931133231E-9,6.11443972661898658184202109844913465622497121866765401046234506561981831563598933145889821E-20
2,32,5,0,0,5,reused,94.0703739167051793401697068475186824798583984375,94.070374332970382569846172600195345859570503458258745698082474386119458816,94.0703744843245720474467459798135263272873339492081629095152158818912520660822394819845752,1.513541894776005733796181804677168304909494172114327414957717932500822394819845752E-7,5.676193927072770391322948438474289355117081629095152158818912520660822394819845752E-7,1.2405669785430326037188668947807315141581259539666249584738E-14,4.16265203229676465752676663379712105020758745698082474386119458816E-7,4.42504036133915108863678144120173751608016826173983942137189674902981659140137082209331486E-9,4.42504036133915108863678144120173751608016826173983942137189674902981659140137082209331486E-9,6.11443972661898658184202109844913465622497121866765401046234506561981831563598933145889821E-20
2,32,5,0,0,5,reused_centered,94.0703742442045864891042583622038364410400390625,94.070374332970382569846172600195345859570503458258745698082474386119458816,94.0703744843245720474467459798135263272873339492081629095152158818912520660822394819845752,1.513541894776005733796181804677168304909494172114327414957717932500822394819845752E-7,2.401199855583424876176096898862472948867081629095152158818912520660822394819845752E-7,2.645426871798691577851519269303395283095799258294179272238E-15,8.8765796080741914237991509418530464395758745698082474386119458816E-8,9.43610533179633728342914226262799472945843757478445366415877158425337426393679116977642259E-10,9.43610533179633728342914226262799472945843757478445366415877158425337426393679116977642259E-10,6.11443972661898658184202109844913465622497121866765401046234506561981831563598933145889821E-20
2,32,2,1,0,3,recursive,0.63323217541449683398724346261587925255298614501953125,0.63323217543688681117646659918371771437366763529238805453261464573032252764525428736,0.633232175435825790004894988387052208245151110222469965246443209893198982295932821433488688,1.061021171571610796665506128516525069918089286171435837123545349321465926511312E-12,2.1328956017651525771172955692164965202938715246443209893198982295932821433488688E-11,6.8328787808908497826655462099247712014333509926192156159431541886152E-16,2.238997718922313656783846182068149027285680453261464573032252764525428736E-11,2.238997718922313656783846182068149027285680453261464573032252764525428736E-11,3.53582430863933698520952698966836443228129980756872882579720459462784980784589654257360252E-11,2.2846511083776740871692155209454276815000024283077375759253504E-22
2,32,2,1,0,3,direct,0.63323217546733079341692018715548329055309295654296875,0.63323217543688681117646659918371771437366763529238805453261464573032252764525428736,0.633232175435825790004894988387052208245151110222469965246443209893198982295932821433488688,1.061021171571610796665506128516525069918089286171435837123545349321465926511312E-12,3.1505003412025198768431082307941846320498784753556790106801017704067178566511312E-11,9.2907660645915490636491626524125125886781907554276593840568458113848E-16,3.044398224045358797176557617942532125058069546738535426967747235474571264E-11,3.044398224045358797176557617942532125058069546738535426967747235474571264E-11,4.80771246651345950421446499895530406275829989115897843312616439947676782861728949070596161E-11,2.2846511083776740871692155209454276815000024283077375759253504E-22
