family,n,p,amplitude,basis,map,extra,field,derivative,error_l2_ratio,face_rms_ratio,jump_rms_ratio
tri,4.0,2.0,0.0,gll,coupled,0.0,sine,x,1.000000000000194,1.0000000000002125,1.0000000000002247
tri,4.0,2.0,0.0,gll,coupled,0.0,sine,y,0.9999999999999682,0.9999999999999911,0.9999999999997137
tri,4.0,2.0,0.0,gll,coupled,0.0,sine,xx,1.000000000000253,1.0000000000003115,1.0000000000002123
tri,4.0,2.0,0.0,gll,coupled,0.0,sine,xy,1.000000000000213,1.0000000000002234,1.0000000000002756
tri,4.0,2.0,0.0,gll,coupled,0.0,sine,yy,1.0000000000000666,1.0000000000000675,1.0000000000001215
tri,4.0,2.0,0.0,gll,coupled,0.0,shortwave,x,1.0000000000000127,1.0000000000000195,1.0000000000000229
tri,4.0,2.0,0.0,gll,coupled,0.0,shortwave,y,0.9999999999999991,0.9999999999999984,0.9999999999999865
tri,4.0,2.0,0.0,gll,coupled,0.0,shortwave,xx,1.000000000000004,1.00000000000001,1.000000000000002
tri,4.0,2.0,0.0,gll,coupled,0.0,shortwave,xy,1.0000000000000333,1.0000000000000306,1.000000000000023
tri,4.0,2.0,0.0,gll,coupled,0.0,shortwave,yy,1.000000000000009,1.0000000000000093,1.0000000000000215
tri,4.0,2.0,0.0,gll,coupled,0.0,exponential,x,1.0000000000008489,1.0000000000003275,0.9999999999937681
tri,4.0,2.0,0.0,gll,coupled,0.0,exponential,y,1.000000000000121,1.0000000000001166,1.000000000002628
tri,4.0,2.0,0.0,gll,coupled,0.0,exponential,xx,1.0000000000024871,1.0000000000024385,1.0000000000012488
tri,4.0,2.0,0.0,gll,coupled,0.0,exponential,xy,0.9999999999952887,0.9999999999946774,0.999999999994073
tri,4.0,2.0,0.0,gll,coupled,0.0,exponential,yy,0.9999999999946283,0.9999999999961271,0.9999999999910403
tri,4.0,2.0,0.0,gll,coupled,0.0,constant,x,nan,nan,nan
tri,4.0,2.0,0.0,gll,coupled,0.0,constant,y,nan,nan,nan
tri,4.0,2.0,0.0,gll,coupled,0.0,constant,xx,nan,nan,nan
tri,4.0,2.0,0.0,gll,coupled,0.0,constant,xy,nan,nan,nan
tri,4.0,2.0,0.0,gll,coupled,0.0,constant,yy,nan,nan,nan
tri,4.0,2.0,0.0,gll,coupled,0.0,physical_quadratic,x,nan,nan,nan
tri,4.0,2.0,0.0,gll,coupled,0.0,physical_quadratic,y,nan,nan,nan
tri,4.0,2.0,0.0,gll,coupled,0.0,physical_quadratic,xx,nan,nan,nan
tri,4.0,2.0,0.0,gll,coupled,0.0,physical_quadratic,xy,nan,nan,nan
tri,4.0,2.0,0.0,gll,coupled,0.0,physical_quadratic,yy,nan,nan,nan
tri,4.0,3.0,0.0,gll,coupled,0.0,sine,x,0.9999999999995239,0.9999999999999035,1.000000000000034
tri,4.0,3.0,0.0,gll,coupled,0.0,sine,y,0.9999999999990917,0.9999999999994895,1.0000000000001705
tri,4.0,3.0,0.0,gll,coupled,0.0,sine,xx,0.999999999996722,0.9999999999969295,0.9999999999806715
tri,4.0,3.0,0.0,gll,coupled,0.0,sine,xy,0.999999999997052,0.9999999999969839,1.000000000000564
